Home_Goals,Away_Goals,Home_Pos,Away_Pos,Home_Shots,Away_Shots,Home_Shots_On,Away_Shots_On,Home_Fouls,Away_Fouls,Home_Off,Away_Off,Home_Corners,Away_Corners
1,2,47,53,8,11,3,4,12,9,2,2,1,6
1,0,63,37,18,4,3,0,9,10,3,1,3,3
0,2,46,54,15,6,3,4,11,13,6,1,6,1
1,2,32,68,6,16,3,6,6,8,1,1,4,6
1,3,18,82,6,18,2,4,10,8,2,3,2,11
3,0,70,30,24,8,11,2,9,13,3,3,6,5
2,0,66,34,11,3,5,2,5,13,5,1,3,3
1,3,49,51,14,12,4,6,4,11,4,3,5,5
3,2,66,34,14,16,5,8,18,10,1,0,7,2
3,1,40,60,19,14,10,7,7,12,6,1,6,6
3,1,75,25,5,2,1,1,2,1,0,0,0,0
1,2,39,61,5,16,2,5,9,11,3,1,3,2
0,2,55,45,6,18,2,6,11,12,1,2,4,7
1,2,43,57,9,16,4,9,13,12,0,4,1,9
0,0,44,56,9,16,2,6,12,12,1,2,1,6
1,0,63,37,11,14,7,3,10,8,4,1,6,4
0,1,53,47,11,13,3,8,7,15,2,0,7,6
5,0,58,42,13,4,10,1,5,4,6,3,6,1
2,1,61,39,17,11,5,6,6,9,1,1,3,2
2,0,59,41,13,10,3,4,10,14,2,1,10,3
0,3,52,48,13,7,4,4,13,7,1,3,5,1
2,1,62,38,27,9,11,2,8,9,2,2,12,3
1,4,44,56,6,14,2,6,6,7,1,2,7,6
2,1,32,68,5,14,2,2,10,16,3,0,1,13
0,2,23,77,3,17,0,6,6,8,2,4,3,10
3,0,37,63,7,6,5,2,10,10,1,1,2,6
0,0,81,19,30,0,4,0,9,9,2,3,12,0
1,4,37,63,14,12,3,8,10,7,0,3,4,5
3,0,60,40,11,11,7,4,12,9,5,3,4,9
2,1,32,68,13,15,6,7,13,12,6,0,6,11
1,1,55,45,23,8,4,3,11,7,3,2,13,1
1,0,71,29,13,3,3,0,8,9,2,1,5,2
2,1,54,46,21,10,8,4,9,12,4,2,10,4
2,0,74,26,15,3,7,3,6,8,4,2,8,1
2,3,30,70,10,17,4,8,10,8,2,2,3,7
2,0,71,29,14,7,3,2,7,9,4,1,8,3
0,0,65,35,18,12,6,3,8,13,2,2,15,4
1,0,53,47,15,9,4,2,11,12,3,1,4,6
4,1,45,55,9,7,8,2,9,14,0,5,4,5
2,1,44,56,10,14,5,7,13,12,1,6,3,4
1,0,54,46,13,7,5,2,10,9,0,1,6,5
1,2,53,47,10,16,3,7,11,9,7,5,6,3
0,3,46,54,10,9,5,5,11,11,0,1,6,1
2,2,63,37,18,15,5,4,12,10,0,4,8,1
1,1,50,50,9,13,3,6,8,14,1,0,7,5
1,1,66,34,19,6,9,2,10,16,0,2,13,1
4,1,48,52,16,11,5,1,17,6,3,0,3,5
0,1,24,76,5,14,3,4,12,5,0,1,3,13
4,1,68,32,21,7,12,4,7,7,1,2,8,2
1,0,50,50,18,6,6,1,13,9,1,6,10,2
4,1,51,49,15,7,4,2,12,12,3,5,2,6
1,1,57,43,15,14,3,6,6,10,2,3,7,4
1,0,57,43,13,13,4,1,10,9,2,0,5,2
